SCIE 21-22 Level,SCIE 21-22 Pass,DaysAbsent,ELL,EconomicallyDisadvantaged,Ethnicity,GTID,Gender,Gifted,Grade,LastLexileScore,SST,SWD,SCIE 21-22 Scale Score
Beginning Learner,0,2,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1036316432,FEMALE,N,8,1155,Y,N,474
Proficient Learner,1,18,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1046045654,MALE,N,8,1190,N,N,581
Developing Learner,1,40,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1068291966,MALE,N,8,885,N,N,497
Developing Learner,1,28,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1258969653,FEMALE,N,8,1205,N,N,502
Beginning Learner,0,1,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1330688392,MALE,N,8,955,N,Y,413
Developing Learner,1,10,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1370813653,FEMALE,N,8,1305,N,N,475
Developing Learner,1,7,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1688696598,FEMALE,N,8,1030,Y,N,480
Developing Learner,1,24,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1772378891,FEMALE,N,8,1175,N,N,491
Distinguished Learner,1,15,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1849864197,FEMALE,N,8,1260,N,N,603
Developing Learner,1,21,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1849868557,FEMALE,N,8,1205,N,N,508
Developing Learner,1,5,N,N,"WHITE, NOT OF HISPANIC ORIGIN",1849945617,MALE,N,8,1130,N,N,502
Beginning Learner,0,24,N,N,HISPANIC,1849961503,FEMALE,N,8,795,Y,N,397
Proficient Learner,1,7,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1849973905,MALE,N,8,1055,Y,N,569
Developing Learner,1,4,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",1976174619,FEMALE,N,8,1155,N,Y,497
Developing Learner,1,13,N,N,AMERICAN INDIAN OR ALASKA NATIVE,2020221125,FEMALE,N,8,1190,N,N,496
Developing Learner,1,10,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",2025980183,MALE,N,8,1245,Y,N,480
Developing Learner,1,25,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2105278442,FEMALE,N,8,1010,N,N,509
Developing Learner,1,8,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",2197854003,FEMALE,N,8,1205,N,N,497
Beginning Learner,0,34,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2239319828,MALE,N,8,960,N,N,457
Beginning Learner,0,2,Y,Y,HISPANIC,2338754425,FEMALE,N,8,760,N,N,439
Developing Learner,1,45,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2441099035,MALE,N,8,1375,N,N,509
Beginning Learner,0,12,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2849604224,MALE,N,8,935,Y,N,445
Developing Learner,1,5,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",2933271931,MALE,N,8,1040,N,N,521
Developing Learner,1,19,N,N,"WHITE, NOT OF HISPANIC ORIGIN",2937979521,FEMALE,N,8,1055,N,N,513
Proficient Learner,1,11,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3029704149,FEMALE,N,8,1245,N,N,572
Proficient Learner,1,20,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3298122424,MALE,N,8,1325,N,N,556
Proficient Learner,1,10,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",3507236362,FEMALE,N,8,1225,N,N,578
Proficient Learner,1,38,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3621808655,MALE,Y,8,1225,N,N,572
Developing Learner,1,15,N,N,HISPANIC,3791798975,FEMALE,N,8,1105,N,N,479
Developing Learner,1,6,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3877167705,FEMALE,N,8,1130,N,N,496
Developing Learner,1,1,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",3928617435,MALE,N,8,1040,Y,N,475
Proficient Learner,1,31,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3985307768,FEMALE,N,8,1225,N,N,541
Proficient Learner,1,38,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",3994148599,FEMALE,N,8,1505,N,N,526
Proficient Learner,1,10,N,N,"WHITE, NOT OF HISPANIC ORIGIN",3998976221,MALE,N,8,1245,N,N,569
Beginning Learner,0,26,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",4006488734,MALE,N,8,855,Y,N,405
Proficient Learner,1,7,N,N,ASIAN,4017143776,MALE,N,8,1205,N,N,556
Beginning Learner,0,8,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4173123116,FEMALE,N,8,1065,N,N,439
Developing Learner,1,14,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4214331311,MALE,N,8,915,Y,N,503
Developing Learner,1,3,N,N,"WHITE, NOT OF HISPANIC ORIGIN",4231309264,MALE,Y,8,1030,N,N,513
Developing Learner,1,7,N,Y,"WHITE, NOT OF HISPANIC ORIGIN",4260549048,MALE,N,8,980,N,Y,508
