StudentID,Course,Grade,Section_Grade,Course_Type
STU205,French IV Honors,11,90.96,Foreign Language
STU206,Spanish Language and Culture AP,12,92.2,Foreign Language
STU207,Spanish V Honors,12,86.59,Foreign Language
STU208,Chinese III Honors,10,97.06,Foreign Language
STU209,Spanish II Honors,9,90.47,Foreign Language
STU21,Spanish IV,11,92.74,Foreign Language
STU210,Spanish IV,11,92.59,Foreign Language
STU211,Spanish IV Honors,11,97.69,Foreign Language
STU212,Chinese IV,11,92.03,Foreign Language
STU213,Spanish IV,12,86.3,Foreign Language
STU214,French IV Honors,11,82.17,Foreign Language
STU215,Spanish IV,12,87.22,Foreign Language
STU216,Spanish III,10,92.63,Foreign Language
STU217,Spanish IV Honors,11,96.13,Foreign Language
STU218,Spanish IV,11,93.94,Foreign Language
STU218,Latin III Honors,11,94.47,Foreign Language
STU219,Spanish II,9,94.74,Foreign Language
STU22,Spanish Literature and Culture AP,11,90.37,Foreign Language
STU220,Spanish IV,11,90.08,Foreign Language
STU221,Spanish V Honors,12,90.43,Foreign Language
STU222,Spanish II Honors,9,87.98,Foreign Language
STU223,Chinese IV Honors,11,95.38,Foreign Language
STU224,Chinese Language and Culture AP,12,84.1,Foreign Language
STU225,Spanish IV Honors,11,97.57,Foreign Language
STU226,Spanish II Honors,9,97.77,Foreign Language
STU227,Spanish Language and Culture AP,12,94.37,Foreign Language
STU228,Spanish III Honors,10,92.92,Foreign Language
STU229,Spanish III,11,89.93,Foreign Language
STU23,Spanish Language and Culture AP,12,93.78,Foreign Language
STU230,French IV,11,81.05,Foreign Language
STU231,Spanish V Honors,12,87.48,Foreign Language
STU232,Spanish IV,12,84.61,Foreign Language
STU233,Spanish IV,11,92.55,Foreign Language
STU234,Latin II Honors,10,95.13,Foreign Language
STU235,Spanish V Honors,12,90.42,Foreign Language
STU236,Latin II Honors,10,93.4,Foreign Language
STU237,Chinese IV Honors,11,94.42,Foreign Language
STU238,Spanish III,10,93.1,Foreign Language
STU239,Spanish II Honors,9,81.18,Foreign Language
STU24,Spanish IV,11,86.46,Foreign Language
STU240,Chinese IV Honors,11,97.92,Foreign Language
STU241,Spanish III Honors,10,92.03,Foreign Language
STU242,Spanish IV,11,86.69,Foreign Language
STU243,Spanish III Honors,10,91.04,Foreign Language
STU244,Spanish II,10,86.94,Foreign Language
STU245,Spanish III Honors,10,85.63,Foreign Language
STU246,Spanish Language and Culture AP,12,95.13,Foreign Language
