StudentID,Course,Grade,Section_Grade,Course_Type
STU223,English Language and Composition AP,11,88.36,English
STU224,English Literature and Composition AP,12,85,English
STU225,English Literature and Composition AP,11,92.54,English
STU226,English I Honors,9,96.59,English
STU227,Mythology Classical and World Literature Post-AP,12,90.05,English
STU228,English Language and Composition AP,10,90.76,English
STU229,English Language and Composition AP,11,87.47,English
STU23,Women Writers Post-AP,12,94.92,English
STU230,English Literature and Composition AP,11,92.08,English
STU231,English Literature and Composition AP,12,77.45,English
STU232,English Literature and Composition AP,12,89.18,English
STU233,English Language and Composition AP,11,88.7,English
STU234,English II Honors,10,89.92,English
STU235,English Literature and Composition AP,12,81.18,English
STU236,English II Honors,10,88.65,English
STU237,English Literature and Composition AP,11,92.16,English
STU238,English II Honors,10,87.6,English
STU239,English I Honors,9,90.57,English
STU24,English Literature and Composition AP,11,89.83,English
STU240,English Literature and Composition AP,11,99.71,English
STU241,English II Honors,10,91.99,English
STU242,English Language and Composition AP,11,91.72,English
STU243,English Language and Composition AP,10,92.52,English
STU244,English II Honors,10,86.44,English
STU245,English II Honors,10,90.16,English
STU247,English Language and Composition AP,10,93.72,English
STU248,English II Honors,10,93.24,English
STU249,English I Honors,9,94.97,English
STU25,English Language and Composition AP,11,93.78,English
STU250,English Language and Composition AP,10,92.52,English
STU251,English Language and Composition AP,11,93.7,English
STU252,English Literature and Composition AP,11,87.97,English
STU253,English Language and Composition AP,11,94.26,English
STU254,English Language and Composition AP,10,87.8,English
STU255,English Literature and Composition AP,11,87.03,English
STU256,English Language and Composition AP,10,95.76,English
STU257,English I Honors,9,93.18,English
STU258,English I Honors,9,96.83,English
STU259,English Language and Composition AP,11,84.65,English
STU26,Shakespeare Post-AP,12,94.7,English
STU260,English I Honors,9,96.65,English
STU261,English Literature and Composition AP,11,92.36,English
STU262,English II Honors,10,94.94,English
STU263,English Language and Composition AP,11,90.66,English
STU264,English Language and Composition AP,10,94.55,English
STU265,English II Honors,10,93.57,English
STU266,English II Honors,10,86.47,English
STU267,English Language and Composition AP,10,92.3,English
STU268,English Literature and Composition AP,12,89.51,English
STU269,English II Honors,10,84.58,English
STU27,English Language and Composition AP,10,93.94,English
STU270,English Language and Composition AP,11,88.96,English
STU271,English I Honors,9,89.64,English
STU272,English Language and Composition AP,11,92.09,English
STU273,English Language and Composition AP,10,93.29,English
STU274,English I Honors,9,87.52,English
