StudentID,Course,Grade,Section_Grade
STU812,Human Geography AP,9,92.14
STU19,English I Honors,9,97.18
STU19,Latin I Honors,9,98.35
STU19,Geometry,9,92.29
STU19,Computer Science Principles AP,9,87.7
STU19,Chemistry,9,94.07
STU19,Human Geography AP,9,89.4
STU820,English I Honors,9,87.7
STU820,Spanish II,9,87.25
STU820,Geometry,9,85
STU820,Chemistry,9,85.47
STU820,Modern World Honors: 1750 to the Present,9,90.55
STU346,English I Honors,9,95.15
STU346,French II,9,84.79
STU346,Geometry,9,82.29
STU346,Chemistry,9,90.15
STU346,Modern World Honors: 1750 to the Present,9,94.57
STU109,English I Honors,9,96.65
STU109,Spanish II Honors,9,94.59
STU109,Geometry Honors,9,85.07
STU109,Computer Science Principles AP,9,91.11
STU109,Chemistry Honors,9,84.62
STU109,World History AP,9,89.8
STU222,English I Honors,9,88.95
STU222,Spanish II Honors,9,87.98
STU222,Geometry Honors,9,79.93
STU222,Chemistry,9,93.12
STU222,Human Geography AP,9,82.41
STU636,English I Honors,9,89.85
STU636,Spanish II Honors,9,87.61
STU636,Geometry,9,93.61
STU636,Chemistry,9,88.71
STU636,Human Geography AP,9,88.2
STU508,English I Honors,9,96.46
STU508,Spanish II Honors,9,97.33
STU508,Geometry Honors,9,98.02
STU508,Chemistry Honors,9,98.44
STU508,Human Geography AP,9,95.35
STU651,English I Honors,9,91
STU651,Spanish II Honors,9,91
STU651,Geometry Honors,9,91.66
STU651,Computer Science Principles AP,9,96.94
STU651,Chemistry Honors,9,90.38
STU651,Human Geography AP,9,94.75
STU169,English I Honors,9,98.5
STU169,Latin I Honors,9,98.55
STU169,Pre-Calculus Honors,9,93.75
STU169,Computer Science Principles AP,9,97.45
STU169,Chemistry Honors,9,93.19
STU169,World History AP,9,96.73
STU856,English I Honors,9,95.9
STU856,"Great Decisions, Character, and Consequences",9,100
STU856,Spanish II,9,97.85
STU856,Algebra II Honors,9,95.37
STU856,Chemistry Honors,9,95.84
STU856,Human Geography AP,9,97.69
STU468,English I Honors,9,81.75
STU468,"Great Decisions, Character, and Consequences",9,100
STU468,Spanish II,9,87.56
STU468,Geometry,9,78.4
STU468,Chemistry,9,82.55
STU468,Modern World Honors: 1750 to the Present,9,92.18
STU804,English I Honors,9,98.24
STU804,Spanish II Honors,9,93.34
STU804,Geometry,9,94.66
STU804,Chemistry,9,97.67
STU804,World History AP,9,94.9
STU839,English I Honors,9,95.9
STU839,Spanish II,9,95.21
STU839,Geometry Honors,9,81.62
STU839,Chemistry Honors,9,84.41
STU839,World History AP,9,99.18
STU239,English I Honors,9,90.57
STU239,Spanish II Honors,9,81.18
STU239,Geometry,9,86.35
STU239,Chemistry,9,94.49
STU239,Modern World Honors: 1750 to the Present,9,91.78
STU795,English I Honors,9,87.31
STU795,Latin I Honors,9,97.43
