,,,,78.3,66.1,19,19,16,,72.5,75.9,,,,,,,,,,,,
period,gender,race,SPED?,average,EOCT,Algebra,Geometry,Data,Pass/Fail,final exam,final grade,letter,absences,suspensions,To make:,A,B,C,A,B,C,,
1,M,W,N,79,54,3,3,4,fail,54,73,C,46,0,,222,122,22,not possible,not possible,50,,
5,F,W,N,58,54,3,3,4,fail,54,57,F,16,1,,379,279,179,not possible,not possible,not possible,,
1,M,W,N,54,54,4,3,3,fail,54,54,F,10,17,,409,309,209,not possible,not possible,not possible,,
5,M,W,N,82,55,3,6,2,fail,70,77,C,18,15,,198,98,-3,not possible,98,50,,
1,M,W,N,73,55,4,4,3,fail,65,70,F,6,3,,265,165,65,not possible,not possible,65,,
1,M,W,N,75,57,5,2,5,fail,80,73,C,12,0,,247,147,47,not possible,not possible,50,,
5,M,W,N,89,58,2,6,5,fail,70,82,B,8,0,,141,41,-60,not possible,50,50,,
5,F,W,N,90,60,7,5,2,fail,76,84,B,18,0,,130,30,-70,not possible,50,50,,
5,M,W,N,60,60,5,6,3,fail,0,54,F,34,20,,355,255,155,not possible,not possible,not possible,,
1,M,B,N,95,60,6,4,4,fail,80,88,B,7,0,,93,-8,-108,93,50,50,,
5,F,W,N,85,60,4,5,5,fail,60,79,C,9,0,,168,68,-33,not possible,68,50,,
5,M,W,N,75,61,5,5,5,fail,70,72,C,4,13,,241,141,41,not possible,not possible,50,,
1,M,W,Y,72,61,4,8,3,fail,71,70,C,0,0,,264,164,64,not possible,not possible,64,,
1,F,W,N,71,61,7,6,2,fail,72,70,C,4,1,,271,171,71,not possible,not possible,71,,
1,M,W,N,90,62,6,5,5,fail,62,83,B,34,0,,127,27,-73,not possible,50,50,,
5,F,B,N,90,62,5,7,4,fail,0,77,C,12,5,,127,27,-73,not possible,50,50,,
1,F,B,N,70,62,7,5,4,fail,96,71,C,1,0,,277,177,77,not possible,not possible,77,,
5,F,W,Y,73,62,5,5,6,fail,66,71,C,15,7,,255,155,55,not possible,not possible,55,,
